station_id,station_name,start_date,end_date,latitude,longitude,in_basins,break_with_basins
501466,CENTRAL NO 2,1976-04-01 00:00:00,2011-06-01 00:00:00,65.5667,-144.7653,True,False
502607,EAGLE,1976-01-01 00:00:00,2017-05-04 00:00:00,64.7856,-141.2036,True,False
504567,KENNY LAKE 7SE,2003-02-15 00:00:00,2012-04-01 00:00:00,61.6797,-144.7633,True,False
505757,MCCARTHY 3 SW,1997-01-03 00:00:00,2014-07-05 00:00:00,61.4180,-142.9961,True,False
505880,MILE 42 STEESE,2000-06-01 00:00:00,2013-06-08 00:00:00,65.2222,-147.1667,False,False
509385,TONSINA,1976-06-15 00:00:00,2014-12-04 00:00:00,61.6510,-145.1702,True,False
509869,WISEMAN,2000-06-01 00:00:00,2016-12-01 00:00:00,67.4082,-150.1096,False,False
510055,AHUIMANU LOOP 839.12,1968-09-01 00:00:00,2020-07-21 00:00:00,21.4319,-157.8372,True,False
510300,CAMP 84 807,1965-05-17 00:00:00,2020-07-16 00:00:00,21.4325,-158.0559,True,False
510404,DOWSETT  775.4,1983-10-03 00:00:00,2020-02-05 00:00:00,21.3368,-157.8344,True,False
510485,ELIMA RESV 985.2,1995-04-12 00:00:00,2016-07-05 00:00:00,21.9356,-159.5389,False,False
510530,FIELD 28 RESERVOIR   474.2,2006-01-05 00:00:00,2020-07-02 00:00:00,20.9671,-156.6374,False,False
510964,HALAWA SHAFT 771.2,1965-04-23 00:00:00,2020-03-04 00:00:00,21.3808,-157.9039,True,False
511140,HANAHANAPUNI 1055.2,1977-07-27 00:00:00,2020-06-01 00:00:00,22.0303,-159.4159,True,False
511303,HAWAII VOL. NP HQ.  54,1965-03-01 00:00:00,2020-06-02 00:00:00,19.4297,-155.2562,True,False
511308,HAWAII KAI G.C. 724.19,1977-09-01 00:00:00,2020-07-21 00:00:00,21.2990,-157.6644,False,False
511339,HAWI 168,1965-03-01 00:00:00,2020-02-04 00:00:00,20.2402,-155.8388,True,False
511385,HAW'N OCN VIEW EST 3.9,1980-08-03 00:00:00,2020-06-15 00:00:00,19.1192,-155.7859,True,False
511540,HOKULOA 725.2,1965-05-24 00:00:00,2019-09-02 00:00:00,21.3905,-158.0999,True,False
511921,HONOMAELE   355.2,2006-01-03 00:00:00,2017-12-28 00:00:00,20.7940,-156.0413,False,False
512156,HUEHUE 92.1,1986-03-11 00:00:00,2020-06-15 00:00:00,19.7532,-155.9715,True,False
512453,KAHAKULOA MAUKA 482.3,1967-12-21 00:00:00,2019-05-07 00:00:00,20.9873,-156.5460,True,False
512570,KAHUKU 912,1965-05-07 00:00:00,2020-06-06 00:00:00,21.6950,-157.9811,True,False
512595,KAHUNA FALLS    138.2,1993-10-04 00:00:00,2020-07-05 00:00:00,19.8583,-155.1608,True,False
512600,KAHUA RANCH HQTRS 176.3,1977-01-24 00:00:00,2020-06-12 00:00:00,20.1248,-155.7887,True,False
512683,KAILUA FIRE STA 791.3,1965-05-07 00:00:00,2020-02-05 00:00:00,21.3958,-157.7399,False,False
513072,KAMUELA 1  201.2,1981-06-01 00:00:00,2020-06-18 00:00:00,20.0395,-155.6085,True,False
513099,KANALOHULUHULU 1075,1965-03-19 00:00:00,2020-06-24 00:00:00,22.1297,-159.6586,True,False
513159,KAPAA STABLES 1104,1966-01-31 00:00:00,2020-06-24 00:00:00,22.0997,-159.3467,True,False
513510,KAUMANA 88.1,1965-03-01 00:00:00,2020-06-12 00:00:00,19.6801,-155.1432,False,False
513547,KAUNAKAKAI MAU 536.5,1965-04-05 00:00:00,2020-07-05 00:00:00,21.0946,-157.0174,True,False
513562,KAUPAKULUA 435.3,1989-01-01 00:00:00,2020-07-01 00:00:00,20.8817,-156.2844,True,False
513576,KAUPO RANCH 259,1965-03-01 00:00:00,2020-06-18 00:00:00,20.6482,-156.1360,True,False
513925,KEAIWA CAMP 22.1,1965-03-01 00:00:00,2020-06-15 00:00:00,19.2354,-155.4811,True,False
513987,KEALAKEKUA 4  74.8,1986-11-05 00:00:00,2020-06-15 00:00:00,19.5106,-155.9217,True,False
514098,KEANAKOLU CAMP 124.2,1965-03-01 00:00:00,2020-02-26 00:00:00,19.9185,-155.3399,True,False
514272,KEKAHA 944,1965-03-16 00:00:00,2020-06-23 00:00:00,22.0025,-159.7547,True,False
514400,KEPUHI-SHERATON 550.2,1990-01-01 00:00:00,2020-07-05 00:00:00,21.1804,-157.2317,True,False
514459,KIHALANI  132.5,2001-10-01 00:00:00,2020-06-12 00:00:00,19.9714,-155.2359,True,False
514561,KILAUEA 1134,1966-02-03 00:00:00,2018-05-08 00:00:00,22.2139,-159.4044,True,False
514778,KUALAPUU 534,1965-04-05 00:00:00,2020-07-07 00:00:00,21.1539,-157.0361,True,False
515000,KULA BRANCH STN 324.5,1979-05-01 00:00:00,2011-07-26 00:00:00,20.7584,-156.3212,True,False
515102,KURTISTOWN   91.14,1999-08-01 00:00:00,2020-06-15 00:00:00,19.5914,-155.0638,True,False
515260,LALAMILO FLD OF 191.1,1965-03-01 00:00:00,2020-06-11 00:00:00,20.0130,-155.6686,True,False
515286,LANAI CITY 672,1976-11-01 00:00:00,2020-07-03 00:00:00,20.8291,-156.9202,True,False
515560,LIHUE VRTY STA 1062.1,1965-03-17 00:00:00,2020-06-01 00:00:00,22.0242,-159.3866,True,False
515655,LULUKU 781.7,1967-05-22 00:00:00,2020-07-06 00:00:00,21.3875,-157.8094,True,False
515758,MAKAHA COUNTRY CLUB 800.3,1987-12-01 00:00:00,2020-07-16 00:00:00,21.4784,-158.1964,True,False
515842,MAKENA GOLF COURSE 249.1,1982-07-01 00:00:00,2020-07-05 00:00:00,20.6419,-156.4400,True,False
516222,MAUNAWILI 787.1,1965-04-27 00:00:00,2020-02-25 00:00:00,21.3508,-157.7667,True,False
516553,MOUNT KAALA 844,1965-05-25 00:00:00,2020-07-22 00:00:00,21.5072,-158.1416,True,False
517150,OPAEULA 870,1965-04-19 00:00:00,2020-07-16 00:00:00,21.5738,-158.0379,True,False
517194,PAAKEA 350,1965-03-01 00:00:00,2020-06-01 00:00:00,20.8137,-156.1186,True,False
517209,PAAUHAU MAUKA    217.2,1994-11-01 00:00:00,2020-06-12 00:00:00,20.0699,-155.4444,True,False
517465,PAHOA SCHOOL SITE  64,1979-01-01 00:00:00,2020-07-01 00:00:00,19.4904,-154.9432,True,False
517942,PEARL COUNTRY CLUB 760.2,1977-09-01 00:00:00,2020-07-08 00:00:00,21.3931,-157.9352,True,False
518063,POHAKULOA 107,1965-03-01 00:00:00,2020-06-12 00:00:00,19.7495,-155.5268,True,False
518155,PH WAINIHA 1115,1966-02-04 00:00:00,2009-10-01 00:00:00,22.1961,-159.5561,True,False
518165,PRINCEVILLE RANCH 1117,1965-03-18 00:00:00,2020-06-01 00:00:00,22.2181,-159.4828,True,False
518314,PUNALUU PUMP 905.2,1972-06-01 00:00:00,2020-07-21 00:00:00,21.5844,-157.8914,True,False
518342,PUPUKEA HEIGHTS 896.4,1968-09-01 00:00:00,2020-07-21 00:00:00,21.6428,-158.0372,True,False
518407,PUUKOLII 457.1,2002-06-03 00:00:00,2020-07-02 00:00:00,20.9285,-156.6735,True,False
518549,PUU-O-HOKU RANCH 542.1,1965-04-07 00:00:00,2020-02-26 00:00:00,21.1447,-156.7329,False,False
518555,PUU WAAWAA 94.1,1965-03-01 00:00:00,2020-06-15 00:00:00,19.7783,-155.8432,True,False
518760,ULUPALAKUA RANCH 250,1965-03-01 00:00:00,2020-07-01 00:00:00,20.6487,-156.3982,True,False
518941,WAHIAWA 930,1965-03-01 00:00:00,2017-04-10 00:00:00,21.8967,-159.5569,True,False
518945,WAHIAWA DAM 863,1965-04-19 00:00:00,2020-07-16 00:00:00,21.4967,-158.0497,True,False
518964,WAIAHOLE 837,1965-05-17 00:00:00,2020-07-01 00:00:00,21.4705,-157.8836,True,False
518966,WAIAHI UPR 1052,1987-06-02 00:00:00,2020-06-01 00:00:00,22.0219,-159.4644,True,False
519195,WAIALUA 847,1965-03-01 00:00:00,2020-07-16 00:00:00,21.5747,-158.1204,True,False
519335,WAIKAMOI DAM 336,1965-03-02 00:00:00,2020-02-05 00:00:00,20.8089,-156.2299,True,False
519376,WAIKAPU 390,1979-07-01 00:00:00,2020-07-01 00:00:00,20.8536,-156.5088,True,False
519500,WAILUPE VLY SCH 723.6,1966-04-27 00:00:00,2020-07-21 00:00:00,21.2918,-157.7534,True,False
519534,WAIMANALO NONOKIO 795.2,1972-11-01 00:00:00,2015-10-21 00:00:00,21.3356,-157.7117,True,False
519593,WAIMEA 892,1965-03-01 00:00:00,2019-09-03 00:00:00,21.6262,-158.0675,True,False
660061,ADJUNTAS SUBSTATION,1971-07-01 00:00:00,2020-02-04 00:00:00,18.1747,-66.7977,True,False
660984,BOTIJAS 1 - OROCOVIS,1973-06-29 00:00:00,2020-02-10 00:00:00,18.2422,-66.3580,True,False
660988,BOTIJAS 2 - OROCOVIS,1973-06-19 00:00:00,2020-08-12 00:00:00,18.1925,-66.3502,True,False
661901,CAYEY 1 E,1971-07-01 00:00:00,2020-08-12 00:00:00,18.1188,-66.1658,True,False
662336,CERRO MARAVILLA,1971-07-01 00:00:00,2013-05-21 00:00:00,18.1547,-66.5619,True,False
662934,COROZAL SUBSTATION,1971-07-01 00:00:00,2013-04-30 00:00:00,18.3266,-66.3591,True,False
663113,CUBUY,1973-05-14 00:00:00,2020-08-10 00:00:00,18.2705,-65.8680,True,False
663431,DOS BOCAS,1971-07-01 00:00:00,2020-02-13 00:00:00,18.3361,-66.6666,True,False
663657,FAJARDO,1971-07-01 00:00:00,2018-07-12 00:00:00,18.3096,-65.6625,True,False
664276,GURABO SUBSTATION,1971-07-01 00:00:00,2020-03-03 00:00:00,18.2583,-65.9922,True,False
665097,LAJAS SUBSTATION,2007-01-31 00:00:00,2020-08-03 00:00:00,18.0330,-67.0722,False,False
665258,LAS PIEDRAS 1 N,1973-06-08 00:00:00,2020-02-28 00:00:00,18.1963,-65.8650,True,False
665908,MARICAO 2 SSW,1971-07-01 00:00:00,2019-10-01 00:00:00,18.1511,-66.9888,True,False
666514,NEGRO - COROZAL,1973-06-19 00:00:00,2019-07-03 00:00:00,18.2886,-66.3433,True,False
666805,PARAISO,2001-10-01 00:00:00,2020-03-03 00:00:00,18.2650,-65.7208,True,False
666942,PENA POBRE-NAGUABO,1973-05-23 00:00:00,2020-03-03 00:00:00,18.2200,-65.8258,True,False
666992,PICO DEL ESTE,1973-05-14 00:00:00,2007-07-18 00:00:00,18.2708,-65.7592,True,False
667292,PONCE 4 E,1971-07-01 00:00:00,2020-03-10 00:00:00,18.0258,-66.5252,True,False
011641,SAN JUAN L M MARIN INTL AP,1967-01-01 00:00:00,2013-12-31 00:00:00,18.4325,-66.0108,False,False
668814,WFO SAN JUAN,2004-09-21 00:00:00,2020-08-04 00:00:00,18.4312,-65.9917,False,False
