station_id,station_name,state,start_date,end_date,latitude,longitude,in_basins,break_with_basins,network,start_date_to_use,end_date_to_use
72463603013,LAMAR MUNICIPAL AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+38.072,-102.687,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72463699999,LAMAR MUNI,CO,1995-11-28 00:00:00,2005-12-31 00:00:00,+38.070,-102.688,False,False,isd,2005-10-10 11:00:00,2005-10-10 11:00:00
72464093058,PUEBLO MEMORIAL AIRPORT,CO,1990-01-01 00:00:00,2020-10-15 00:00:00,+38.289,-104.506,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72464523070,PERRY STOKES AIRPORT,CO,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.262,-104.338,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72464603028,COMANCHE NATIONAL GRASSLAND,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+37.283,-102.614,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72465023065,RENNER FIELD/GOODLAND MINI AI,KS,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.367,-101.693,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72465593990,HILL CITY MUNICIPAL ARPT,KS,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.376,-099.830,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
72466093037,CITY OF COLORADO SPRINGS MUNI,CO,1990-01-01 00:00:00,2020-10-15 00:00:00,+38.810,-104.688,True,False,isd,2007-01-01 00:00:00,2019-12-31 21:00:00
72466693067,CENTENNIAL AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.570,-104.849,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72467393009,LEADVILLE/LAKE COUNTY APT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.229,-106.317,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72467399999,LAKE CO,CO,1990-02-08 00:00:00,2005-12-31 00:00:00,+39.220,-106.317,False,False,isd,1999-03-01 07:00:00,2001-12-31 23:00:00
72467494050,MEEKER AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+40.044,-107.889,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72467499999,MEEKER,CO,1990-01-01 00:00:00,2005-12-31 00:00:00,+40.049,-107.886,False,False,isd,2005-12-03 23:00:00,2005-12-03 23:00:00
72467693073,ASPEN-PITKIN COUNTY ARPT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.230,-106.871,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72468903026,KIT CARSON COUNTY AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.245,-102.284,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72469824015,COLORADO PLAINS RGNL ARPT,CO,1990-01-01 00:00:00,2020-10-15 00:00:00,+40.167,-103.217,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
72470093141,CARBON COUNTY AIRPORT,UT,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.609,-110.755,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72475593129,CEDAR CITY REGIONAL ARPT,UT,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.709,-113.094,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72475623159,BRYCE CANYON AIRPORT,UT,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.706,-112.146,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
72476023066,GRAND JUNCTION REGIONAL AIRPO,CO,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.134,-108.540,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72476593013,MONTROSE REGIONAL AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+38.506,-107.899,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72476793069,CORTEZ MUNICIPAL AIRPORT,CO,2006-01-01 00:00:00,2020-10-15 00:00:00,+37.307,-108.626,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72476799999,CORTEZ MUNI,CO,1990-01-01 00:00:00,2005-12-31 00:00:00,+37.300,-108.633,False,False,isd,2005-10-29 05:00:00,2005-10-29 05:00:00
72477003170,EUREKA,NV,2010-08-01 00:00:00,2020-10-15 00:00:00,+39.601,-116.006,False,False,isd,2010-08-01 00:00:00,2019-12-31 23:00:00
72477693075,CANYONLANDS FIELD AIRPORT,UT,2006-01-01 00:00:00,2020-10-15 00:00:00,+38.750,-109.763,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72479694128,LOGAN-CACHE AIRPORT,UT,1999-01-01 00:00:00,2020-10-15 00:00:00,+41.787,-111.853,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
72479723176,MILFORD MUNI BRISCOE,UT,1997-01-01 00:00:00,2020-10-15 00:00:00,+38.417,-113.017,False,False,isd,1997-01-23 16:00:00,2019-12-31 23:00:00
72480023157,BISHOP AIRPORT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.371,-118.358,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72481523257,MRCD MUNI/MACREADY FLD APT,CA,2006-01-01 00:00:00,2020-10-15 00:00:00,+37.285,-120.513,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72483023232,SACRAMENTO EXECUTIVE AIRPORT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+38.507,-121.495,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72483893205,YUBA COUNTRY AIRPORT,CA,2006-01-01 00:00:00,2020-10-15 00:00:00,+39.102,-121.568,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
